codigo,nombre,creditos,semestre,requisitos,correquisitos,grupo,profesor,dia,hora_inicio,hora_fin
CI-0200,Examen Diagnóstico,0,0,,,,,,,
CI-0202,Inglés básico,2,0,,,1,Kennedy Russell Ana,L,18:00,20:50
CI-0202,Inglés básico,2,0,,,10,Albertazzi Osorio Sonia,V,09:30,12:20
CI-0202,Inglés básico,2,0,,,2,Rivera Vega Katerine,K,17:00,19:50
CI-0202,Inglés básico,2,0,,,3,Vallecillo Alfaro Johanny,M,13:00,15:50
CI-0202,Inglés básico,2,0,,,4,Murillo Escalante Rocio,J,09:30,12:20
CI-0202,Inglés básico,2,0,,,5,Gomez Montoya Carlos Andres,M,15:00,17:50
CI-0202,Inglés básico,2,0,,,6,Vindas Fernandez Nuria,J,13:00,15:50
CI-0202,Inglés básico,2,0,,,7,Albertazzi Osorio Sonia,J,18:00,20:50
CI-0202,Inglés básico,2,0,,,8,Vallecillo Alfaro Johanny,L,09:30,12:20
CI-0202,Inglés básico,2,0,,,9,Kennedy Russell Ana,K,13:00,15:50
CI-1106,Comunicación escrita,2,1,,,1,Arce Fuentes Jose Daniel,L,18:00,20:50
CI-1106,Comunicación escrita,2,1,,,2,Romero Alvarez Ericka,K,13:00,15:50
CI-1106,Comunicación escrita,2,1,,,3,Rios Sanchez Armando,M,13:00,15:50
CI-1106,Comunicación escrita,2,1,,,4,Amador Solano Gabriela,J,09:30,12:20
CI-1106,Comunicación escrita,2,1,,,5,Vargas Castro Ericka,M,10:30,12:20
CI-1107,Comunicación Oral,1,2,,,1,Castillo Rodriguez Larissa,L,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,10,Castillo Rodriguez Larissa,K,16:00,18:50
CI-1107,Comunicación Oral,1,2,,,11,Shiltagh Prada Dimitri,K,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,12,Castillo Rodriguez Larissa,M,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,13,Rios Sanchez Armando,M,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,14,Shiltagh Prada Dimitri,M,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,15,Rodriguez Herra Natalia,M,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,16,Sanchez Sanchez Daniela,M,16:00,18:50
CI-1107,Comunicación Oral,1,2,,,17,Rodriguez Herra Natalia,M,17:00,19:50
CI-1107,Comunicación Oral,1,2,,,18,Shiltagh Prada Dimitri,M,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,19,Morales Garay Saray,J,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,2,Perez Rojas Nelson,L,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,20,Romero Alvarez Ericka,J,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,21,Perez Rojas Nelson,J,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,22,Shiltagh Prada Dimitri,J,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,23,Romero Alvarez Ericka,J,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,24,Solano Moraga Sigrid,J,15:00,17:50
CI-1107,Comunicación Oral,1,2,,,25,Morales Solano Paola Natalia,J,17:00,19:50
CI-1107,Comunicación Oral,1,2,,,26,Arce Fuentes Jose Daniel,J,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,27,Morales Garay Saray,V,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,28,Amador Solano Gabriela,V,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,29,Shiltagh Prada Dimitri,V,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,3,Castillo Rodriguez Larissa,L,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,30,Arce Fuentes Jose Daniel,V,17:00,19:50
CI-1107,Comunicación Oral,1,2,,,31,Gomez Montoya Carolina,V,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,32,Morales Solano Paola Natalia,V,16:00,18:50
CI-1107,Comunicación Oral,1,2,,,33,Romero Alvarez Ericka,V,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,4,Morales Solano Paola Natalia,L,18:00,20:50
CI-1107,Comunicación Oral,1,2,,,5,Castillo Rodriguez Larissa,K,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,6,Morales Garay Saray,K,07:30,10:20
CI-1107,Comunicación Oral,1,2,,,7,Amador Solano Gabriela,K,09:30,12:20
CI-1107,Comunicación Oral,1,2,,,8,Castillo Rodriguez Larissa,K,13:00,15:50
CI-1107,Comunicación Oral,1,2,,,9,Shiltagh Prada Dimitri,K,13:00,15:50
CI-3400,Inglés ATI 1,2,3,CI-0200;CI-0202,,1,Vindas Fernandez Nuria,M,09:30,12:20
CI-3400,Inglés ATI 1,2,3,CI-0200;CI-0202,,2,Vindas Fernandez Nuria,M,13:00,15:50
CI-4401,Inglés ATI 2,2,4,CI-3400,,1,Vindas Fernandez Nuria,J,09:30,12:20
MA-0101,Matemática general,2,0,,,1,Solis Palma Angie,J,07:30,09:20
MA-0101,Matemática general,2,0,,,1,Solis Palma Angie,K,07:30,10:20
MA-0101,Matemática general,2,0,,,10,Azofeifa Cubero Roberto,M,15:00,17:50
MA-0101,Matemática general,2,0,,,10,Azofeifa Cubero Roberto,V,15:00,16:50
MA-0101,Matemática general,2,0,,,11,Prendas Rojas Juan Pablo,M,16:00,18:50
MA-0101,Matemática general,2,0,,,11,Prendas Rojas Juan Pablo,V,17:00,18:50
MA-0101,Matemática general,2,0,,,12,Solano Varela Daniel Jesus,S,07:30,12:20
MA-0101,Matemática general,2,0,,,2,Vega Vasquez Arturo,J,09:30,11:20
MA-0101,Matemática general,2,0,,,2,Vega Vasquez Arturo,K,09:30,12:20
MA-0101,Matemática general,2,0,,,3,Cordero Quiros Marcial,J,13:00,14:50
MA-0101,Matemática general,2,0,,,3,Cordero Quiros Marcial,K,13:00,15:50
MA-0101,Matemática general,2,0,,,4,Jimenez Madrigal Jorge,J,15:00,17:50
MA-0101,Matemática general,2,0,,,4,Jimenez Madrigal Jorge,K,15:00,16:50
MA-0101,Matemática general,2,0,,,5,Rodriguez Castro Bryan,J,16:00,17:50
MA-0101,Matemática general,2,0,,,5,Rodriguez Castro Bryan,K,16:00,18:50
MA-0101,Matemática general,2,0,,,6,Cordero Quiros Marcial,J,18:00,19:50
MA-0101,Matemática general,2,0,,,6,Cordero Quiros Marcial,K,18:00,20:50
MA-0101,Matemática general,2,0,,,7,Sanchez Fernandez Ivonne,M,07:30,09:20
MA-0101,Matemática general,2,0,,,7,Sanchez Fernandez Ivonne,V,07:30,10:20
MA-0101,Matemática general,2,0,,,8,Marrero Calvo Marcela,M,09:30,12:20
MA-0101,Matemática general,2,0,,,8,Marrero Calvo Marcela,V,09:30,11:20
MA-0101,Matemática general,2,0,,,9,Quesada Villalobos Lourdes,M,13:00,15:50
MA-0101,Matemática general,2,0,,,9,Quesada Villalobos Lourdes,V,13:00,14:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,1,Quesada Villalobos Lourdes,J,07:30,09:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,1,Quesada Villalobos Lourdes,K,07:30,10:20
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,10,Fallas Monge Juan Jose,J,18:00,19:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,10,Fallas Monge Juan Jose,K,18:00,20:50
MA-1102,Cálculo diferencial e integral,4,2,MA-0101;MA-1403,,11,Paez Paez Cristian,M,07:30,09:20
